code,name,Security Group,Open,High,Low,LTP,No. of Shares Traded ,Total Turnover in Lac,No. of Trades ,
507205,TI,B,113.80,116.00,113.80,115.30,17894,20.61,585,
523261,VENKYS,A,1600.00,1646.05,1600.00,1636.60,1262,20.59,320,
500413,THOMASCOOK,A,62.70,65.11,62.65,64.15,31865,20.52,600,
526159,NIKHILAD,X,108.90,109.90,106.00,106.50,18997,20.40,434,
539201,SATIA,B,115.15,116.95,114.45,116.10,17593,20.36,451,
890179,ADCONPP,XT,1.51,1.54,1.47,1.48,1359852,20.36,110,
543193,DJML,B,134.80,141.70,134.80,141.70,14420,20.34,89,
532712,RCOM,T,1.75,1.83,1.74,1.81,1118416,20.29,731,
538895,MIHIKA,XT,23.05,24.30,23.05,24.28,84677,20.27,91,
538920,VINCOFE,X,35.50,35.50,33.10,34.05,59371,20.26,280,
543714,LANDMARK,B,546.95,565.60,540.80,547.45,3677,20.26,342,
500060,BIRLACABLE,B,127.80,131.70,126.55,130.25,15590,20.23,444,
505010,AUTOAXLES,B,2245.05,2336.20,2245.05,2330.05,870,20.16,222,
542323,KPIGREEN,B,426.50,442.10,426.50,432.20,4622,20.15,531,
538057,CPSEETF,A,39.18,39.47,39.12,39.46,50922,20.02,634,
502420,ORIENTPPR,B,36.81,37.85,36.81,37.67,53146,19.98,505,
526829,CONFIPET,B,59.96,61.85,59.96,61.50,32537,19.95,412,
500119,DHAMPURSUG,A,207.90,213.50,207.90,212.60,9472,19.92,282,
543670,VINNY,T,15.68,16.10,15.68,15.68,126114,19.81,378,
523025,SAFARIND,B,1980.85,2054.15,1980.85,2040.50,969,19.76,370,
532054,KDDL,B,1072.30,1072.30,1041.15,1052.45,1867,19.69,655,
